,ofi_multi_L3_AAPL,ofi_int_10s_AAPL
2024-10-21 12:26:52+00:00,0.0,-23.0
2024-10-21 12:26:54+00:00,0.0,0.0
2024-10-21 12:27:04+00:00,0.0,0.0
2024-10-21 12:27:08+00:00,-100.0,-100.0
2024-10-21 12:27:14+00:00,0.0,-100.0
2024-10-21 12:27:16+00:00,-23.0,-123.0
2024-10-21 12:27:20+00:00,-100.0,-123.0
2024-10-21 12:27:22+00:00,0.0,-123.0
2024-10-21 12:27:24+00:00,-7.0,-130.0
2024-10-21 12:27:26+00:00,0.0,-107.0
2024-10-21 12:27:28+00:00,186.0,79.0
2024-10-21 12:27:30+00:00,0.0,179.0
2024-10-21 12:27:36+00:00,200.0,386.0
2024-10-21 12:27:38+00:00,300.0,500.0
2024-10-21 12:27:40+00:00,-400.0,100.0
2024-10-21 12:27:46+00:00,200.0,100.0
2024-10-21 12:27:50+00:00,-196.0,4.0
2024-10-21 12:27:52+00:00,0.0,4.0
2024-10-21 12:27:54+00:00,200.0,204.0
2024-10-21 12:27:56+00:00,0.0,4.0
2024-10-21 12:27:58+00:00,-200.0,-196.0
2024-10-21 12:28:12+00:00,-100.0,-100.0
2024-10-21 12:28:14+00:00,7.0,-93.0
2024-10-21 12:28:16+00:00,0.0,-93.0
2024-10-21 12:28:18+00:00,0.0,-93.0
2024-10-21 12:28:20+00:00,-200.0,-293.0
2024-10-21 12:28:32+00:00,200.0,200.0
2024-10-21 12:28:34+00:00,400.0,600.0
2024-10-21 12:28:42+00:00,0.0,400.0
2024-10-21 12:28:44+00:00,0.0,0.0
2024-10-21 12:28:48+00:00,0.0,0.0
2024-10-21 12:28:54+00:00,100.0,100.0
2024-10-21 12:28:56+00:00,100.0,200.0
2024-10-21 12:28:58+00:00,0.0,200.0
2024-10-21 12:29:00+00:00,156.0,356.0
2024-10-21 12:29:04+00:00,-97.0,159.0
2024-10-21 12:29:06+00:00,31.0,90.0
2024-10-21 12:29:08+00:00,10.0,100.0
2024-10-21 12:29:10+00:00,0.0,-56.0
2024-10-21 12:29:12+00:00,-127.0,-183.0
2024-10-21 12:29:14+00:00,0.0,-86.0
2024-10-21 12:29:16+00:00,-200.0,-317.0
2024-10-21 12:29:26+00:00,0.0,0.0
2024-10-21 12:29:48+00:00,-143.0,-143.0
2024-10-21 12:29:50+00:00,-219.0,-362.0
2024-10-21 12:29:54+00:00,362.0,0.0
2024-10-21 12:30:00+00:00,-200.0,162.0
2024-10-21 12:30:08+00:00,200.0,0.0
2024-10-21 12:30:10+00:00,116.0,316.0
2024-10-21 12:30:12+00:00,-14.0,302.0
2024-10-21 12:30:32+00:00,2.0,2.0
2024-10-21 12:30:34+00:00,0.0,2.0
2024-10-21 12:30:36+00:00,398.0,400.0
2024-10-21 12:30:40+00:00,600.0,1000.0
2024-10-21 12:30:42+00:00,-144.0,854.0
2024-10-21 12:30:50+00:00,-29.0,-173.0
2024-10-21 12:30:52+00:00,0.0,-29.0
2024-10-21 12:30:54+00:00,400.0,371.0
2024-10-21 12:30:56+00:00,200.0,571.0
2024-10-21 12:30:58+00:00,200.0,771.0
2024-10-21 12:31:00+00:00,-100.0,700.0
2024-10-21 12:31:02+00:00,200.0,900.0
2024-10-21 12:31:04+00:00,400.0,900.0
2024-10-21 12:31:10+00:00,-168.0,432.0
2024-10-21 12:31:12+00:00,-677.0,-445.0
