,ofi_best_AAPL,ofi_int_10s_AAPL
2024-10-21 12:14:07+00:00,0.0,-168.0
2024-10-21 12:14:10+00:00,0.0,-168.0
2024-10-21 12:14:17+00:00,0.0,0.0
2024-10-21 12:14:18+00:00,0.0,0.0
2024-10-21 12:14:21+00:00,0.0,0.0
2024-10-21 12:14:28+00:00,0.0,0.0
2024-10-21 12:14:37+00:00,0.0,0.0
2024-10-21 12:14:41+00:00,0.0,0.0
2024-10-21 12:14:43+00:00,0.0,0.0
2024-10-21 12:14:49+00:00,0.0,0.0
2024-10-21 12:14:52+00:00,0.0,0.0
2024-10-21 12:14:53+00:00,0.0,0.0
2024-10-21 12:14:59+00:00,0.0,0.0
2024-10-21 12:15:05+00:00,0.0,0.0
2024-10-21 12:15:08+00:00,0.0,0.0
2024-10-21 12:15:12+00:00,200.0,200.0
2024-10-21 12:15:13+00:00,0.0,200.0
2024-10-21 12:15:14+00:00,0.0,200.0
2024-10-21 12:15:15+00:00,0.0,200.0
2024-10-21 12:15:17+00:00,0.0,200.0
2024-10-21 12:15:24+00:00,0.0,0.0
2024-10-21 12:15:27+00:00,0.0,0.0
2024-10-21 12:15:29+00:00,33.0,33.0
2024-10-21 12:15:38+00:00,-38.0,-5.0
2024-10-21 12:15:39+00:00,200.0,162.0
2024-10-21 12:15:40+00:00,0.0,162.0
2024-10-21 12:15:43+00:00,-600.0,-438.0
2024-10-21 12:15:46+00:00,-200.0,-638.0
2024-10-21 12:15:50+00:00,0.0,-800.0
2024-10-21 12:15:55+00:00,200.0,0.0
2024-10-21 12:16:00+00:00,200.0,400.0
2024-10-21 12:16:02+00:00,-200.0,200.0
2024-10-21 12:16:04+00:00,200.0,400.0
2024-10-21 12:16:08+00:00,-200.0,0.0
2024-10-21 12:16:09+00:00,0.0,0.0
2024-10-21 12:16:10+00:00,200.0,0.0
2024-10-21 12:16:12+00:00,-200.0,0.0
2024-10-21 12:16:13+00:00,200.0,200.0
2024-10-21 12:16:14+00:00,0.0,0.0
2024-10-21 12:16:20+00:00,0.0,0.0
2024-10-21 12:16:34+00:00,0.0,0.0
2024-10-21 12:16:35+00:00,0.0,0.0
2024-10-21 12:16:36+00:00,0.0,0.0
2024-10-21 12:16:37+00:00,0.0,0.0
2024-10-21 12:16:41+00:00,0.0,0.0
2024-10-21 12:16:42+00:00,0.0,0.0
2024-10-21 12:16:44+00:00,18.0,18.0
2024-10-21 12:16:47+00:00,0.0,18.0
2024-10-21 12:16:48+00:00,0.0,18.0
2024-10-21 12:16:49+00:00,-18.0,0.0
2024-10-21 12:16:50+00:00,-200.0,-200.0
2024-10-21 12:16:51+00:00,141.0,-59.0
2024-10-21 12:16:54+00:00,0.0,-77.0
2024-10-21 12:17:02+00:00,400.0,400.0
2024-10-21 12:17:04+00:00,0.0,400.0
2024-10-21 12:17:06+00:00,0.0,400.0
2024-10-21 12:17:07+00:00,0.0,400.0
2024-10-21 12:17:10+00:00,0.0,400.0
2024-10-21 12:17:16+00:00,0.0,0.0
2024-10-21 12:17:18+00:00,10.0,10.0
2024-10-21 12:17:20+00:00,-200.0,-190.0
2024-10-21 12:17:21+00:00,0.0,-190.0
2024-10-21 12:17:22+00:00,50.0,-140.0
2024-10-21 12:17:24+00:00,0.0,-140.0
2024-10-21 12:17:26+00:00,0.0,-140.0
2024-10-21 12:17:30+00:00,0.0,50.0
2024-10-21 12:17:33+00:00,0.0,0.0
2024-10-21 12:17:35+00:00,0.0,0.0
2024-10-21 12:17:37+00:00,0.0,0.0
2024-10-21 12:17:38+00:00,0.0,0.0
2024-10-21 12:17:39+00:00,0.0,0.0
2024-10-21 12:17:47+00:00,25.0,25.0
2024-10-21 12:17:57+00:00,0.0,0.0
2024-10-21 12:17:58+00:00,0.0,0.0
2024-10-21 12:18:00+00:00,0.0,0.0
